class,precision,recall,f1,support
car_horn,0.0,0.0,0.0,29
chirping_birds,0.3333333333333333,0.08,0.12903225806451613,25
clock_tick,1.0,0.5,0.6666666666666666,10
cow,1.0,0.4090909090909091,0.5806451612903226,22
crow,0.9615384615384616,0.6097560975609756,0.746268656716418,41
dog,1.0,0.6666666666666666,0.8,33
door_wood_knock,1.0,0.23529411764705882,0.38095238095238093,17
engine,0.5833333333333334,0.65625,0.6176470588235294,32
footsteps,1.0,0.0196078431372549,0.038461538461538464,51
hen,0.68,0.7083333333333334,0.6938775510204082,24
keyboard_typing,0.0,0.0,0.0,3
laughing,1.0,0.3333333333333333,0.5,9
mouse_click,0.0,0.0,0.0,3
rain,0.8333333333333334,0.5,0.625,10
rooster,0.44,0.8461538461538461,0.5789473684210527,13
sheep,1.0,0.5,0.6666666666666666,16
siren,1.0,0.5714285714285714,0.7272727272727273,28
thunderstorm,1.0,0.3076923076923077,0.47058823529411764,13
water_drops,1.0,0.25,0.4,12
wind,0.0,0.0,0.0,57
