class,precision,recall,f1,support
car_horn,0.6666666666666666,0.3448275862068966,0.45454545454545453,29
chirping_birds,0.3392857142857143,0.76,0.4691358024691358,25
clock_tick,0.7,0.7,0.7,10
cow,0.8333333333333334,0.45454545454545453,0.5882352941176471,22
crow,0.9393939393939394,0.7560975609756098,0.8378378378378378,41
dog,0.7714285714285715,0.8181818181818182,0.7941176470588235,33
door_wood_knock,0.7,0.4117647058823529,0.5185185185185185,17
engine,0.7142857142857143,0.15625,0.2564102564102564,32
footsteps,1.0,0.27450980392156865,0.4307692307692308,51
hen,0.6666666666666666,0.8333333333333334,0.7407407407407407,24
keyboard_typing,0.0,0.0,0.0,3
laughing,0.7777777777777778,0.7777777777777778,0.7777777777777778,9
mouse_click,0.0,0.0,0.0,3
rain,0.8,0.8,0.8,10
rooster,0.0,0.0,0.0,13
sheep,1.0,0.875,0.9333333333333333,16
siren,0.5384615384615384,0.75,0.6268656716417911,28
thunderstorm,1.0,0.5384615384615384,0.7,13
water_drops,0.7692307692307693,0.8333333333333334,0.8,12
wind,0.0,0.0,0.0,57
